customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating
151,1001,408.0,2024-01-01,Sports,2.3
192,1002,332.0,2024-01-02,Electronics,4.2
114,1003,442.0,2024-01-03,Electronics,2.1
171,1004,256.0,2024-01-04,Clothing,2.8
160,1005,64.0,2024-01-05,Clothing,1.3
120,1006,395.0,2024-01-06,Groceries,1.1
182,1007,91.0,2024-01-07,Sports,4.9
186,1008,429.0,2024-01-08,Clothing,4.3
174,1009,228.0,2024-01-09,Electronics,3.8
174,1010,112.0,2024-01-10,Sports,2.6
187,1011,401.0,2024-01-11,Sports,1.7
199,1012,280.0,2024-01-12,Electronics,1.6
123,1013,290.0,2024-01-13,Clothing,2.0
102,1014,101.0,2024-01-14,Electronics,3.2
121,1015,145.0,2024-01-15,Sports,3.9
152,1016,437.0,2024-01-16,Books,3.6
101,1017,271.0,2024-01-17,Books,2.1
187,1018,456.0,2024-01-18,Groceries,4.8
129,1019,280.0,2024-01-19,Electronics,4.0
137,1020,286.0,2024-01-20,Electronics,3.2
101,1021,192.0,2024-01-21,Groceries,3.4
163,1022,220.0,2024-01-22,Groceries,2.7
159,1023,78.0,2024-01-23,Groceries,2.0
120,1024,85.0,2024-01-24,Sports,2.4
132,1025,62.0,2024-01-25,Electronics,4.0
175,1026,209.0,2024-01-26,Sports,1.1
157,1027,376.0,2024-01-27,Groceries,1.5
121,1028,236.0,2024-01-28,Electronics,1.2
188,1029,292.0,2024-01-29,Sports,1.2
148,1030,135.0,2024-01-30,Sports,4.4
190,1031,333.0,2024-01-31,Groceries,3.8
158,1032,115.0,2024-02-01,Electronics,2.9
141,1033,219.0,2024-02-02,Groceries,1.4
191,1034,94.0,2024-02-03,Electronics,3.0
159,1035,111.0,2024-02-04,Books,2.9
179,1036,490.0,2024-02-05,Clothing,1.7
114,1037,183.0,2024-02-06,Clothing,2.7
161,1038,333.0,2024-02-07,Clothing,2.6
161,1039,77.0,2024-02-08,Groceries,2.985
146,1040,157.0,2024-02-09,Books,3.5
161,1041,93.0,2024-02-10,Electronics,1.2
150,1042,389.0,2024-02-11,Sports,2.985
154,1043,335.0,2024-02-12,Electronics,2.985
163,1044,495.0,2024-02-13,Sports,3.0
102,1045,380.0,2024-02-14,Electronics,4.4
150,1046,177.0,2024-02-15,Books,3.6
106,1047,397.0,2024-02-16,Sports,1.7
120,1048,280.0,2024-02-17,Groceries,1.3
172,1049,239.0,2024-02-18,Electronics,3.6
138,1050,274.0,2024-02-19,Electronics,1.1
117,1051,434.0,2024-02-20,Sports,3.3
103,1052,426.0,2024-02-21,Groceries,4.8
188,1053,332.0,2024-02-22,Groceries,3.3
159,1054,495.0,2024-02-23,Books,2.6
113,1055,170.0,2024-02-24,Groceries,3.6
108,1056,165.0,2024-02-25,Groceries,2.8
189,1057,282.0,2024-02-26,Groceries,3.2
152,1058,308.0,2024-02-27,Clothing,4.8
101,1059,408.0,2024-02-28,Books,2.5
183,1060,247.0,2024-02-29,Electronics,4.8
191,1061,460.0,2024-03-01,Sports,4.6
159,1062,186.0,2024-03-02,Electronics,1.8
170,1063,367.0,2024-03-03,Books,1.3
143,1064,214.0,2024-03-04,Sports,1.4
107,1065,274.0,2024-03-05,Books,1.1
146,1066,356.0,2024-03-06,Groceries,1.4
134,1067,283.0,2024-03-07,Sports,3.7
177,1068,221.0,2024-03-08,Groceries,1.3
180,1069,201.0,2024-03-09,Electronics,2.3
135,1070,364.0,2024-03-10,Electronics,2.985
149,1071,423.0,2024-03-11,Sports,1.1
103,1072,209.0,2024-03-12,Sports,4.3
101,1073,145.0,2024-03-13,Books,2.1
105,1074,282.0,2024-03-14,Books,1.5
153,1075,229.0,2024-03-15,Groceries,3.8
103,1076,162.0,2024-03-16,Sports,3.5
153,1077,367.0,2024-03-17,Electronics,4.5
192,1078,491.0,2024-03-18,Books,3.9
162,1079,101.0,2024-03-19,Books,4.2
117,1080,317.0,2024-03-20,Electronics,2.1
189,1081,344.0,2024-03-21,Books,2.985
143,1082,435.0,2024-03-22,Groceries,4.0
133,1083,436.0,2024-03-23,Sports,4.2
173,1084,162.0,2024-03-24,Electronics,5.0
161,1085,150.0,2024-03-25,Sports,2.7
199,1086,162.0,2024-03-26,Books,2.5
113,1087,489.0,2024-03-27,Books,4.1
